ç:;Ç
c:;ĉ
C:;Ĉ
;
g:;ĝ
G:;Ĝ
;
h:;ĥ
H:;Ĥ
;
j:;ĵ
J:;Ĵ
;
s:;ŝ
S:;Ŝ
;
u:;ŭ
U:;Ŭ
