ç:;Ç
;
a:;á
A:;Á
;
e:;é
E:;É
;
i:;í
I:;Í
;
o:;ó
O:;Ó
;
u:;ú
U:;Ú
;
n:;ñ
N:;Ñ
;
??;¿
!!;¡
